Step,AgentID,wealth,strategy_type
1.0,1,11.5,Cooperator
1.0,2,7.0,Cooperator
1.0,3,11.5,Cooperator
1.0,4,15.0,Defector
1.0,5,8.0,Defector
1.0,6,8.0,Defector
1.0,7,7.0,TitForTat
1.0,8,11.5,TitForTat
1.0,9,7.0,TitForTat
1.0,10,15.0,LLM_rationale
1.0,11,15.0,LLM_machiavellian
1.0,12,11.5,LLM_pro-social
2.0,1,13.0,Cooperator
2.0,2,4.0,Cooperator
2.0,3,13.0,Cooperator
2.0,4,20.0,Defector
2.0,5,13.0,Defector
2.0,6,13.0,Defector
2.0,7,4.0,TitForTat
2.0,8,8.5,TitForTat
2.0,9,4.0,TitForTat
2.0,10,20.0,LLM_rationale
2.0,11,20.0,LLM_machiavellian
2.0,12,8.5,LLM_pro-social
3.0,1,14.5,Cooperator
3.0,2,1.0,Cooperator
3.0,3,14.5,Cooperator
3.0,4,25.0,Defector
3.0,5,18.0,Defector
3.0,6,11.0,Defector
3.0,7,5.5,TitForTat
3.0,8,5.5,TitForTat
3.0,9,1.0,TitForTat
3.0,10,25.0,LLM_rationale
3.0,11,18.0,LLM_machiavellian
3.0,12,10.0,LLM_pro-social
4.0,1,16.0,Cooperator
4.0,2,2.5,Cooperator
4.0,3,16.0,Cooperator
4.0,4,23.0,Defector
4.0,5,16.0,Defector
4.0,6,16.0,Defector
4.0,7,2.5,TitForTat
4.0,8,7.0,TitForTat
4.0,9,-1.0,TitForTat
4.0,10,26.5,LLM_rationale
4.0,11,16.0,LLM_machiavellian
4.0,12,11.5,LLM_pro-social
5.0,1,13.0,Cooperator
5.0,2,4.0,Cooperator
5.0,3,17.5,Cooperator
5.0,4,23.0,Defector
5.0,5,21.0,Defector
5.0,6,14.0,Defector
5.0,7,4.0,TitForTat
5.0,8,4.0,TitForTat
5.0,9,-1.0,TitForTat
5.0,10,24.5,LLM_rationale
5.0,11,21.0,LLM_machiavellian
5.0,12,13.0,LLM_pro-social
6.0,1,10.0,Cooperator
6.0,2,5.5,Cooperator
6.0,3,19.0,Cooperator
6.0,4,28.0,Defector
6.0,5,19.0,Defector
6.0,6,12.0,Defector
6.0,7,2.0,TitForTat
6.0,8,1.0,TitForTat
6.0,9,-1.0,TitForTat
6.0,10,29.5,LLM_rationale
6.0,11,19.0,LLM_machiavellian
6.0,12,13.0,LLM_pro-social
7.0,1,11.5,Cooperator
