,Total Wealth,Active Agents,Cooperation Rate
0,128.0,12,0.5833333333333334
1,141.0,12,0.5833333333333334
2,149.0,12,0.5833333333333334
3,152.0,11,0.5833333333333334
4,158.0,11,0.6
5,157.0,11,0.4
6,156.0,10,0.4
7,161.0,9,0.5
8,164.0,9,0.5
9,161.0,8,0.375
10,163.0,8,0.375
11,165.0,8,0.375
12,167.0,8,0.375
13,158.0,8,0.25
14,155.0,8,0.375
15,157.0,7,0.375
16,151.0,6,0.16666666666666666
17,145.0,5,0.16666666666666666
18,137.0,4,0.0
19,129.0,4,0.0
20,121.0,4,0.0
21,113.0,4,0.0
22,105.0,4,0.0
23,97.0,4,0.0
24,89.0,4,0.0
25,81.0,4,0.0
26,73.0,4,0.0
27,65.0,4,0.0
28,57.0,4,0.0
29,49.0,4,0.0
30,41.0,4,0.0
31,33.0,4,0.0
32,25.0,3,0.0
33,21.0,3,0.0
34,17.0,3,0.0
35,13.0,2,0.0
36,9.0,1,0.0
